FID,C_Nus,Coord_X,Coord_Y
2009,N02218A,429.983.139,4.580.533.118
2010,N02219B,429.754.123,4.580.530.581
2011,N02220U,429.673.339,4.580.416.023
2012,N02221V,429784.56,4.580.406.937
2013,N02222W,429.723.258,4.580.549.826
2014,N02223X,429.638.856,4.580.414.789
2015,N02224Y,429.691.662,4.580.499.073
2016,N02226A,428.868.958,4.580.697.333
2017,N02227B,429.034.291,4.580.362.942
2018,N02228C,428.811.774,4.580.706.444
2019,N02229D,429.212.692,4.580.449.304
2020,N02230W,429.255.383,4.580.361.322
2021,N02231X,429.414.022,4.580.331.951
2022,N02232Y,429.298.381,4.580.275.881
2023,N02233Z,429356.78,4.580.218.712
2024,N02234A,429.444.189,4.580.266.713
2025,N02235B,429.436.648,4.580.363.861
2026,N02236C,429.381.688,4.580.409.029
2027,N02237D,429562.05,4580315.16
2028,N02238E,429579.2,4.580.296.151
2029,N02239F,429.701.187,4.580.352.399
2030,N02240Y,429748.47,4.580.417.421
2031,N02241Z,429.729.552,4.580.316.588
2032,N02242A,429.671.718,4.580.389.537
2033,N02243B,429.660.379,4.580.262.565
2034,N02245D,429.989.696,4.580.348.929
2035,N02246E,429.933.441,4.580.364.675
2036,N02247F,429.947.164,4.580.409.495
2037,N02248G,429.923.944,4.580.332.352
2038,N02249H,429.911.184,4.580.301.572
2039,N02250A,429.826.304,4.580.335.853
2040,N02251B,429.772.277,4.580.330.592
2041,N02252C,429.331.528,4.580.209.602
2042,N02253D,429.780.315,4.580.187.654
2043,N02254E,429.798.889,4580251.51
2044,N02255F,429.856.408,4.580.176.542
2045,N02256G,429.872.284,4.580.210.038
2046,N02257H,429.898.983,4.580.271.357
2047,N02258I,429.859.327,4.580.293.263
2048,N02259J,429.901.652,4.580.195.442
2049,N02261D,429.754.398,4.580.279.135
2050,N02262E,429.709.855,4.580.163.339
2051,N02263F,428.981.953,4580041.1
2052,N02264G,429.664.561,4.579.884.259
2053,N02265H,429.390.603,4.580.061.703
2054,N02266I,429.617.014,4.580.186.091
2055,N02267J,429.472.292,4.580.205.141
2056,N02268K,429.506.475,4.580.135.985
2057,N02271F,429.958.737,4.580.451.224
2058,N02272G,429.972.334,4.580.424.682
2059,N02273H,430.009.549,4.580.413.621
2060,N02274I,430.063.825,4.580.397.893
2061,N02275J,430.120.639,4.580.381.435
2062,N02276K,430.176.214,4.580.365.965
2063,N02277L,430.221.018,4.580.352.592
2064,N02278M,430.257.548,4.580.342.146
2065,N02279N,430.289.684,4.580.332.805
2066,N02280G,429917.74,4.580.046.832
2067,N02281H,428.599.711,4.579.860.829
2068,N02282I,428.718.103,4.579.907.173
2069,N02283J,428.989.543,4579966.54
2070,N02284K,429.155.453,4.579.891.499
2071,N02286M,429.757.706,4.579.957.888
2072,N02287N,429.990.163,4.580.053.888
2073,N02289P,430.290.231,4.580.494.971
2074,N02290I,430.237.829,4.580.521.524
2075,N02291J,430.183.581,4.580.549.909
2076,N02292K,430.130.463,4.580.578.581
2077,N02293L,430.063.896,4.580.612.722
2078,N02294M,430252.15,4.580.418.355
2079,N02295N,430.196.725,4.580.441.619
2080,N02296O,430.141.926,4.580.465.192
2081,N02297P,430.088.067,4.580.488.146
2082,N02298Q,430.034.833,4.580.510.788
2083,N02300T,430.094.549,4.580.291.846
2084,N02301U,430.148.579,4.580.265.783
2085,N02302V,430.169.519,4.580.251.757
2086,N02303W,430.413.242,4.580.489.169
2087,N02304X,430343.85,4.580.522.311
2088,N02305Y,430.519.395,4.580.619.522
2089,N02306Z,430.459.253,4.580.547.457
2090,N02307A,430.380.054,4.580.448.281
2091,N02308B,430.335.033,4.580.389.996
2092,N02310V,430.536.673,4.580.362.384
2093,N02311W,430.464.302,4.580.404.764
2094,N02312X,430.327.101,4.580.475.727
2095,N02313Y,430.395.877,4.580.667.846
2096,N02314Z,430.366.011,4.580.585.627
2097,N02315A,430.827.744,4.580.612.098
2098,N02316B,430.786.983,4.580.510.831
2099,N02317C,430.754.027,4.580.422.983
2100,N02318D,430.996.005,4580420.63
2101,N02319E,430.929.883,4.580.453.054
2102,N02320X,430.852.622,4.580.484.591
2103,N02321Y,430.688.538,4580550.08
2104,N02322Z,430.621.567,4.580.578.846
2105,N02323A,430.544.268,4.580.609.556
2106,N02324B,430.378.077,4.580.675.607
2107,N02325C,430.653.341,4.580.468.471
2108,N02326D,430.586.672,4.580.495.986
2109,N02327E,430.512.628,4.580.525.859
2110,N02328F,430.672.735,4.580.707.415
2111,N02329G,430623.28,4.580.393.061
2112,N02330Z,431.057.425,4.580.517.366
2113,N02331A,430.967.741,4.580.555.792
2114,N02332B,430.894.982,4.580.586.389
2115,N02333C,431.016.459,4.580.675.515
2116,N02334D,430.935.583,4.580.683.443
2117,N02335E,430.827.759,4.580.419.152
2118,N02336F,430.963.123,4.580.366.002
2119,N02337G,430.888.212,4.580.402.146
2120,N02338H,430714.84,4.580.417.981
2121,N02340B,430.367.663,4.580.255.234
2122,N02341C,430152.99,4.580.050.924
2123,N02342D,430.185.161,4.580.050.146
2124,N02343E,430.052.911,4580052.56
2125,N02344F,430.338.839,4.580.119.794
2126,N02345G,430.595.785,4.580.209.605
2127,N02346H,429.972.226,4.580.284.697
2128,N02347I,430.039.476,4580308.49
2129,N02348J,430.588.128,4.580.239.601
2130,N02349K,430.716.136,4.580.293.035
2131,N02350D,430.505.024,4.580.133.909
2132,N02351E,430.652.915,4.580.259.569
2133,N02352F,430.660.979,4580225.44
2134,N02353G,430.490.763,4.579.976.157
2135,N02354H,430.404.342,4.579.802.689
2136,N02355I,427.706.586,4.579.005.202
2137,N02356J,427.830.062,4.579.070.033
2138,N02357K,427.963.105,4.579.140.066
2139,N02358L,428.058.135,4.579.187.869
2140,N02359M,428160.84,4.579.246.301
2141,N02360F,428.077.879,4.579.164.331
2142,N02361G,428.100.829,4579175.39
2143,N02362H,428.141.474,4.579.188.537
2144,N02363I,428.194.068,4.579.196.348
2145,N02364J,428.261.256,4.579.051.058
2146,N02365K,428.187.122,4.579.108.173
2147,N02366L,428.094.371,4.578.895.643
2148,N02367M,428.239.291,4.579.032.799
2149,N02368N,428.318.525,4.579.108.172
2150,N02372J,428.081.189,4.579.579.158
2151,N02373K,428.156.217,4.579.581.395
2152,N02374L,428.098.816,4.579.531.701
2153,N02375M,428.157.718,4.579.534.591
2154,N02378P,428.160.859,4.579.466.869
2155,N02379Q,428.155.039,4.579.606.566
2156,N02383M,427.546.362,4.579.469.047
2157,N02384N,427.624.294,4579546.24
2158,N02386P,427.774.029,4.579.688.482
2159,N02387Q,427.877.052,4.579.788.415
2160,N02388R,427.631.886,4.579.757.824
2161,N02389S,427.473.983,4579696.68
2162,N02392N,427.867.701,4.579.571.375
2163,N02393O,427.781.162,4.579.484.982
2164,N02394P,427.980.927,4.579.643.382
2165,N02395Q,427.756.848,4.578.907.512
2166,N02396R,427.604.267,4579188.36
2167,N02397S,428.002.854,4.579.063.053
2168,N02398T,427.687.314,4.579.334.934
2169,N02399U,427.880.417,4.578.974.086
2170,N02400W,428228.96,4579361.12
2171,N02401X,428.141.609,4.579.479.974
2172,N02402Y,428.300.196,4.579.601.829
2173,N02403Z,428.399.585,4.579.515.576
2174,N02405B,428.035.147,4.579.445.258
2175,N02407D,428.085.096,4.579.368.733
2176,N02409F,428.450.389,4.578.968.733
2177,N02410Y,428.364.572,4.578.851.854
2178,N02411Z,428.488.366,4.579.004.868
2179,N02412A,428.577.835,4579104.42
2180,N02414C,428.698.762,4.579.348.792
2181,N02415D,428.123.144,4.581.735.838
2182,N02416E,428.156.033,4581765.22
2183,N02417F,428.221.165,4.581.827.819
2184,N02419H,428.605.446,4.580.837.224
2185,N02420A,428.627.405,4.580.758.627
2186,N02421B,428.790.914,4580754.67
2187,N02422C,427.488.894,4.578.938.409
2188,N02430C,429561.01,4.579.809.839
2189,N02431D,428.557.019,4579696.6
2190,N02432E,428.477.936,4.579.826.725
2191,N02433F,428.500.305,4579851.87
2192,N02434G,428.482.208,4.579.877.514
2193,N02435H,428489.62,4.579.642.491
2194,N02437J,428895.19,4579043.59
2195,N02439L,429.530.742,4.579.015.645
2196,N02440E,429.786.466,4.579.239.828
2197,N02441F,429.862.147,4.579.377.599
2198,N02442G,430.025.161,4.579.563.029
2199,N02443H,429.749.037,4579636.04
2200,N02457N,429.684.939,4579794.3
2201,N02458O,429.890.076,4.579.816.492
2202,N02459P,429.731.159,4.579.935.748
2203,N02460I,430.365.952,4.579.638.276
2204,N02461J,430.385.248,4.580.149.194
2205,N02462K,430.767.859,4.580.233.953
2206,N02463L,430.776.559,4.580.195.347
2207,N02464M,430.602.013,4.579.571.818
2208,N02465N,430.791.292,4.579.907.579
2209,N02466O,430.891.517,4.580.155.712
2210,N02469R,430.343.604,4.579.525.851
2211,N02472M,428.040.105,4.579.730.552
2212,N02473N,426.517.927,4.575.067.934
2213,N02474O,426.939.399,4.575.950.933
2214,N02475P,427.171.812,4.576.440.476
2215,N02476Q,426.731.291,4.574.993.871
2216,N02477R,426.874.247,4.575.289.132
2217,N02478S,427.141.154,4.575.853.847
2218,N02479T,427.374.816,4.576.344.737
2219,N02480M,427425.82,4.575.025.027
2220,N02481N,427.692.071,4.575.588.617
2221,N02482O,427.926.268,4.576.078.923
2222,N02483P,428.327.092,4.578.231.317
2223,N02484Q,428.276.782,4.578.281.094
2224,N02485R,428.227.182,4.578.329.095
2225,N02489V,428.292.515,4.578.198.377
2226,N02490O,428.242.716,4.578.246.764
2227,N02491P,428.191.539,4.578.297.451
2228,N02533I,428.411.802,4.578.299.855
2229,N02534J,428.251.425,4578600.05
2230,N02535K,428.412.905,4578715.27
2231,N02536L,428213.78,4.578.668.561
2232,N02538N,428.491.301,4.578.644.256
2233,N02539O,428.535.947,4.578.691.504
2234,N02540H,428.567.163,4.578.666.959
2235,N02541I,428.478.333,4.578.738.845
2236,N02542J,428.541.616,4.578.715.891
2237,N02543K,428340.29,4.578.431.469
2238,N02544L,428.494.926,4.578.493.304
2239,N02547O,427.675.164,4.578.382.226
2240,N02548P,427.770.499,4.578.434.868
2241,N02550J,427.958.212,4.578.532.297
2242,N02551K,428.081.312,4.578.598.882
2243,N02552L,428.091.361,4.578.278.949
2244,N02553M,427.878.382,4.578.231.112
2245,N02555O,427.733.338,4578714.23
2246,N02559S,428160.96,4578293.44
2247,N02561M,427.642.635,4.578.667.042
2248,N02562N,427.830.737,4578768.09
2249,N02566R,427.534.435,4.578.868.687
2250,N02568T,427.612.539,4.578.722.442
2251,N02569U,427.770.623,4.578.203.092
2252,N02570N,427.659.268,4.578.129.963
2253,N02571O,427.906.665,4.578.002.755
2254,N02573Q,428.531.375,4.578.074.752
2255,N02574R,428.654.426,4.578.218.525
2256,N02575S,428.749.604,4.578.296.761
2257,N02576T,428.675.195,4.578.161.362
2258,N02578V,428.682.759,4.578.142.685
2259,N02580P,428.984.034,4.578.283.098
2260,N02581Q,428.592.107,4.578.565.592
2261,N02582R,429595.01,4578112.16
2262,N02583S,429.635.315,4.578.182.158
2263,N02587W,429.699.653,4.578.303.147
2264,N02588X,429610.85,4.578.349.518
2265,N02589Y,429.545.382,4.578.178.843
2266,N02591S,429630.86,4578405.62
2267,N02592T,429.183.105,4.578.142.019
2268,N02593U,429.099.009,4.578.191.424
2269,N02600C,427.970.388,4.577.247.622
2270,N02601D,428.130.338,4.577.530.286
2271,N02602E,428.229.212,4.577.120.968
2272,N02603F,428.371.998,4.577.417.852
2273,N02604G,428514.47,4.577.719.003
2274,N02605H,428.538.597,4.577.336.248
2275,N02606I,428.234.691,4.577.481.323
2276,N02608K,428.094.933,4577188.02
2277,N02609L,427.699.178,4.577.379.096
2278,N02610E,428.024.779,4577850.43
2279,N02611F,427.993.135,4.577.893.275
2280,N02612G,427.027.188,4.577.409.007
2281,N02613H,427.617.725,4.577.671.736
2282,N02614I,427.745.879,4.577.729.765
2283,N02615J,427.835.588,4577844.01
2284,N02618M,428.674.726,4.577.651.729
2285,N02619N,428.709.347,4.577.781.929
2286,N02620G,428594.07,4.577.959.523
2287,N02621H,426409.06,4.576.810.504
2288,N02622I,426.735.865,4.576.046.451
2289,N02623J,425.823.639,4.576.542.189
2290,N02624K,427.776.632,4.576.152.212
2291,N02625L,427.576.772,4576248.3
2292,N02627N,427.344.194,4.575.759.698
2293,N02628O,427.541.399,4.575.664.397
2294,N02629P,428019.44,4.575.445.907
2295,N02630I,428.439.896,4.575.814.963
2296,N02633L,427.895.807,4.575.186.659
2297,N02634M,427.162.775,4.574.935.143
2298,N02635N,427.247.223,4.575.109.138
2299,N02636O,426307.83,4575151.64
2300,N02637P,425.987.154,4.575.323.194
2301,N02638Q,425751.23,4.575.548.503
2302,N02642M,425.635.526,4.576.057.042
2303,N02643N,425.688.341,4576367.58
2304,N02644O,424.955.569,4.576.492.787
2305,N02645P,425.388.956,4.576.688.606
2306,N02646Q,425.522.146,4.576.288.206
2307,N02647R,425.408.883,4.576.307.308
2308,N02648S,425.203.952,4.576.207.366
2309,N02649T,425.376.691,4576097.92
2310,N02650M,425.490.442,4.576.079.059
2311,N02651N,425.555.568,4.576.495.295
2312,N02652O,425.826.436,4.576.643.907
2313,N02653P,425.864.381,4.576.662.073
2314,N02654Q,425.283.444,4.576.112.427
2315,N02655R,430.563.864,4.584.435.952
2316,N02656S,430.661.769,4.584.517.601
2317,N02657T,430.704.723,4.584.554.691
2318,N02658U,430.758.098,4.584.601.428
2319,N02659V,430.856.332,4.584.687.725
2320,N02660O,430.890.044,4.584.717.914
2321,N02661P,430.951.741,4.584.773.961
2322,N02662Q,430.651.092,4.584.615.401
2323,N02663R,430699.06,4.584.664.398
2324,N02664S,430.791.131,4.584.753.723
2325,N02665T,430.825.105,4.584.786.118
2326,N02666U,430.884.934,4.584.844.054
2327,N02667V,430.546.808,4.584.639.897
2328,N02668W,430.598.442,4.584.674.774
2329,N02669X,430.651.708,4.584.712.495
2330,N02670Q,430.743.202,4.584.805.735
2331,N02671R,430.835.575,4.584.894.618
2332,N02672S,430.502.655,4.584.678.876
2333,N02673T,430.601.639,4.584.764.354
2334,N02674U,430.694.816,4.584.855.406
2335,N02675V,430.785.138,4.584.942.986
2336,N02676W,430.459.797,4.584.724.863
2337,N02677X,430.490.715,4.584.753.452
2338,N02678Y,430.553.396,4.584.814.991
2339,N02679Z,430.645.551,4.584.905.075
2340,N02680S,430.737.924,4.584.993.087
2341,N02682U,430529.23,4584840.56
2342,N02683V,430.481.419,4.584.894.266
2343,N02685X,430.589.811,4.584.961.657
2344,N02687Z,430.692.436,4.585.040.242
2345,N02689B,430.443.783,4584740.32
2346,N02690U,430.418.735,4584767.57
2347,N02691V,430.394.613,4584791.49
2348,N02692W,430.338.743,4.584.846.471
2349,N02695Z,431.186.948,4.584.922.541
2350,N02696A,431.279.048,4.585.014.213
2351,N02697B,431.343.644,4.585.076.893
2352,N02698C,430.284.141,4.584.500.909
2353,N02699D,430403.79,4.584.599.671
2354,N02700F,430.365.669,4584641.36
2355,N02701G,430.347.554,4.584.660.736
2356,N02702H,430.313.024,4584695.18
2357,N02703I,430225.39,4.584.562.102
2358,N02704J,430.261.133,4.584.592.075
2359,N02705K,430304.85,4.584.627.021
2360,N02707M,430.369.343,4584748.91
2361,N02708N,430.410.263,4.584.800.955
2362,N02711I,430.383.622,4.584.858.228
2363,N02712J,430.402.424,4.585.045.677
2364,N02713K,430.482.063,4.585.085.105
2365,N02714L,430588.49,4.585.150.788
2366,N02715M,430.422.868,4.584.997.505
2367,N02716N,430.514.571,4585038.15
2368,N02717O,430.535.303,4585016.67
2369,N02718P,430.639.713,4.585.094.001
2370,N02719Q,430.584.023,4585235.38
2371,N02720J,430.408.393,4.585.212.266
2372,N02724N,430.877.245,4.585.219.289
2373,N02725O,430.675.307,4.585.347.368
2374,N02726P,430.981.158,4.585.318.073
2375,N02727Q,431.208.986,4.585.086.782
2376,N02728R,431.146.051,4585150.88
2377,N02729S,431114.94,4.585.183.064
2378,N02730L,431.083.112,4.585.214.695
2379,N02731M,431.181.639,4.585.246.566
2380,N02732N,431302.32,4.585.304.888
2381,N02733O,431.256.241,4.585.255.131
2382,N02734P,431.212.177,4.585.213.968
2383,N02735Q,431.273.425,4.585.150.328
2384,N02736R,431.131.286,4585299.03
2385,N02737S,431386.38,4.585.118.467
2386,N02738T,431.317.214,4585191.78
2387,N02740N,431360.89,4.585.234.648
2388,N02741O,431.387.543,4.585.263.665
2389,N02742P,431.169.674,4.585.367.538
2390,N02743Q,431.372.167,4.585.103.733
2391,N02744R,431.430.859,4.585.162.621
2392,N02745S,431.487.816,4585217.19
2393,N02746T,431405.15,4.585.189.432
2394,N02747U,431.384.641,4.585.210.833
2395,N02748V,431.013.834,4.585.354.924
2396,N02749W,430442.13,4584338.94
2397,N02750P,430.388.031,4.584.394.788
2398,N02751Q,430.335.332,4.584.449.084
2399,N02752R,430.152.624,4.584.636.566
2400,N02753S,430.277.859,4584654.62
2401,N02754T,430.252.122,4.584.680.327
2402,N02755U,430.224.285,4.584.709.452
2403,N02758X,430.089.121,4.584.993.697
2404,N02759Y,430.123.487,4585016.51
2405,N02760R,430.198.033,4585070.23
2406,N02761S,430.155.395,4.585.125.573
2407,N02762T,430.082.178,4.585.220.804
2408,N02763U,430022,4.585.313.068
2409,N02764V,430.175.646,4.585.204.638
2410,N02765W,430.040.514,4585353.64
2411,N02766X,430.044.619,4585088.71
2412,N02768Z,430.160.681,4.585.301.641
2413,N02769A,430.310.441,4.585.350.378
2414,N02770T,430.034.964,4.585.419.254
2415,N02771U,430.050.593,4585200.48
2416,N02772V,430.071.994,4.585.155.966
2417,N02773W,430008.73,4585162.92
2418,N02774X,430.016.135,4.585.205.689
2419,N02777A,431.332.039,4.585.368.404
2420,N02778B,431.363.412,4.585.433.906
2421,N02779C,431.379.133,4.585.468.619
2422,N02780V,431.250.818,4.585.515.532
2423,N02781W,431.193.602,4.585.543.352
2424,N02782X,431.230.663,4585478.53
2425,N02783Y,431146.26,4.585.504.919
2426,N02784Z,431.198.678,4.585.423.541
2427,N02785A,431.114.251,4.585.459.285
2428,N02786B,431.312.157,4585627.83
2429,N02790X,431064.15,4.585.498.035
2430,N02791Y,431.103.909,4585662.15
2431,N02792Z,431.032.587,4585607.95
2432,N02793A,430.983.091,4.585.569.492
2433,N02794B,430.977.216,4.585.639.104
2434,N02795C,431.072.207,4.585.411.959
2435,N02797E,431.294.864,4.585.646.716
2436,N02798F,430988.29,4.585.482.808
2437,N02799G,430.985.301,4.585.543.472
2438,N02800I,431.008.884,4.585.516.421
2439,N02801J,430.986.406,4.585.452.621
2440,N02802K,430.979.457,4.585.371.813
2441,N02803L,430.986.795,4.585.528.092
2442,N02804M,430.850.476,4.585.512.478
2443,N02805N,430.792.304,4.585.526.525
2444,N02806O,430.875.717,4.585.561.665
2445,N02807P,430.816.126,4585572.32
2446,N02808Q,431.004.872,4.585.801.438
2447,N02809R,430.929.882,4585665.69
2448,N02810K,430.816.446,4.585.446.613
2449,N02811L,430.880.917,4.585.692.458
2450,N02812M,430852.13,4.585.708.177
2451,N02813N,430.760.129,4.585.760.716
2452,N02814O,431.254.518,4.585.860.939
2453,N02815P,431.161.808,4.585.788.395
2454,N02816Q,431.066.579,4.585.715.631
2455,N02817R,431336.92,4.585.843.372
2456,N02818S,431.208.052,4.585.741.135
2457,N02819T,431.385.637,4.585.833.574
2458,N02820M,431.246.936,4585698.51
2459,N02821N,431.405.236,4.585.525.723
2460,N02823P,431.131.055,4585822.96
2461,N02824Q,431.097.475,4.585.853.694
2462,N02825R,431.040.325,4.585.752.727
2463,N02826S,431.356.992,4.585.704.922
2464,N02827T,430.725.427,4.585.398.312
2465,N02828U,430.762.389,4.585.470.555
2466,N02829V,430.826.344,4.585.596.774
2467,N02830O,430.903.743,4.585.735.283
2468,N02831P,430.967.539,4.585.852.593
2469,N02832Q,431.016.592,4.585.942.767
2470,N02833R,430.727.098,4.585.555.427
2471,N02834S,430.663.446,4.585.584.327
2472,N02835T,430.602.337,4.585.613.649
2473,N02836U,430.698.035,4.585.502.001
2474,N02837V,430.635.228,4585529.91
2475,N02838W,430.573.834,4.585.558.243
2476,N02839X,430.509.758,4.585.587.002
2477,N02840Q,430831.81,4.585.357.092
2478,N02841R,430.784.253,4.585.382.019
2479,N02842S,430.664.007,4.585.432.315
2480,N02843T,430.601.357,4.585.461.549
2481,N02844U,430.535.415,4.585.490.858
2482,N02845V,430.464.733,4.585.525.481
2483,N02846W,430.563.622,4.585.392.104
2484,N02848Y,430230.81,4.585.414.959
2485,N02849Z,430.400.664,4.585.421.512
2486,N02850S,430.765.479,4.585.637.738
2487,N02851T,430.768.652,4.585.349.933
2488,N02853V,431.234.763,4.585.863.567
2489,N02854W,431.242.574,4.585.924.617
2490,N02855X,431.256.328,4.586.023.446
2491,N02856Y,431.272.363,4.586.132.595
2492,N02857Z,431.390.031,4.585.968.621
2493,N02858A,431.370.921,4.585.951.878
2494,N02859B,431.297.304,4585894.46
2495,N02860U,431.204.541,4.586.052.053
2496,N02861V,431.155.716,4.586.078.395
2497,N02862W,431.104.913,4.586.104.599
2498,N02863X,431.022.789,4586150.34
2499,N02864Y,431.158.611,4.585.969.654
2500,N02865Z,431.109.927,4.585.995.713
2501,N02866A,431.061.527,4.586.022.056
2502,N02867B,430.977.211,4.586.067.748
2503,N02868C,430.912.795,4.586.103.488
2504,N02869D,431.199.787,4.586.160.468
2505,N02870W,431.065.131,4.585.914.587
2506,N02871X,431.048.065,4.585.881.085
2507,N02872Y,431.117.044,4.585.890.458
2508,N02873Z,430.934.263,4.585.985.743
2509,N02874A,430.905.037,4.585.891.956
2510,N02875B,431.150.559,4.586.186.714
2511,N02876C,431.067.236,4.586.232.608
2512,N02877D,431.002.474,4.586.268.068
2513,N02878E,431.190.401,4.586.262.048
2514,N02879F,431.226.094,4.586.208.403
2515,N02880Y,431.000.813,4.586.109.776
2516,N02881Z,430.898.029,4.585.919.819
2517,N02882A,431.363.516,4.586.008.084
2518,N02883B,431327.32,4.586.063.544
2519,N02884C,431.262.103,4.586.159.471
2520,N02885D,430861.99,4.586.200.534
2521,N02886E,430.867.806,4.586.127.083
2522,N02887F,430.882.639,4.585.923.791
2523,N02888G,430.886.649,4585879.67
2524,N02889H,430.869.054,4.585.911.924
2525,N02890A,430.811.184,4.585.944.247
2526,N02891B,430.702.829,4586004.26
2527,N02892C,430.617.652,4.586.050.726
2528,N02893D,430658.98,4.585.938.106
2529,N02894E,430706.15,4.585.679.596
2530,N02895F,430.719.464,4.585.696.978
2531,N02896G,430.744.964,4.585.734.852
2532,N02897H,430834.71,4.585.685.285
2533,N02898I,430.935.337,4.586.145.466
2534,N02899J,430957.82,4586185.38
2535,N02900L,430.796.551,4.586.159.173
2536,N02901M,430.801.721,4.586.065.225
2537,N02902N,430677.32,4585745.09
2538,N02903O,430.689.006,4.585.798.106
2539,N02904P,430.599.557,4.585.846.914
2540,N02905Q,429.963.316,4.585.384.171
2541,N02906R,430.005.044,4.585.403.258
2542,N02907S,430.077.354,4.585.440.451
2543,N02908T,430111.06,4.585.629.902
2544,N02909U,430.113.952,4585662.19
2545,N02910N,430219.46,4.585.656.253
2546,N02911O,430008.41,4.585.669.761
2547,N02912P,430.186.697,4.585.625.861
2548,N02913Q,429.982.207,4.585.618.809
2549,N02914R,430.197.988,4.585.728.952
2550,N02915S,430.248.849,4.585.732.162
2551,N02916T,430.123.547,4.585.585.774
2552,N02917U,430.343.286,4585939.67
2553,N02918V,430.225.869,4.585.952.763
2554,N02919W,430.338.658,4.586.077.249
2555,N02920P,430.581.982,4.586.096.438
2556,N02921Q,430.456.462,4.586.169.269
2557,N02922R,430.334.502,4.586.147.394
2558,N02923S,430.855.818,4.586.270.069
2559,N02924T,430.786.339,4586234.11
2560,N02925U,430.696.205,4586211.32
2561,N02926V,430.764.799,4.586.323.366
2562,N02927W,430.638.146,4.586.364.891
2563,N02928X,430.696.253,4.586.181.868
2564,N02930R,430.603.281,4.586.330.588
2565,N02931S,430.263.783,4.586.207.596
2566,N02932T,430.254.878,4.586.132.949
2567,N02933U,430.243.413,4.586.059.513
2568,N02934V,430.479.752,4.586.208.776
2569,N02935W,430.349.676,4.586.222.179
2570,N02936X,430.560.895,4.586.168.989
2571,N02937Y,430.529.127,4.586.354.277
2572,N02938Z,430.407.376,4.586.300.707
2573,N02939A,430.127.539,4.586.039.391
2574,N02940T,430.107.049,4.586.107.847
2575,N02941U,430094.89,4.586.175.589
2576,N02942V,430.177.932,4.586.190.667
2577,N02943W,430.112.696,4.586.178.968
2578,N02944X,430.016.466,4.586.161.994
2579,N02945Y,430.012.644,4.586.089.594
2580,N02947A,430.262.716,4.585.889.531
2581,N02948B,430.114.734,4585847.66
2582,N02949C,430411.17,4.585.955.441
2583,N02950V,430.080.521,4.585.833.266
2584,N02951W,430.062.313,4.585.896.995
2585,N02952X,429.999.494,4.585.991.207
2586,N02953Y,430.026.274,4.585.904.475
2587,N02954Z,430.206.584,4.585.790.455
2588,N02955A,429.756.509,4.585.688.619
2589,N02956B,430.314.285,4.586.572.779
2590,N02957C,430.298.801,4.586.461.289
2591,N02958D,430.282.704,4.586.343.276
2592,N02959E,430.229.789,4.586.585.199
2593,N02960X,430217.74,4586454.42
2594,N02961Y,430.231.491,4.586.348.968
2595,N02962Z,430.450.832,4586450.98
2596,N02963A,430.516.894,4.586.403.704
2597,N02964B,430.414.275,4.586.558.626
2598,N02965C,430.425.565,4.586.505.643
2599,N02966D,430.344.819,4.586.442.398
2600,N02967E,430.118.395,4586451.08
2601,N02969G,430.114.436,4.586.276.553
2602,N02970Z,430504.05,4.586.481.556
2603,N02971A,430.189.518,4586281.17
2604,N02972B,430.012.941,4.586.272.497
2605,N02973C,430.015.205,4.586.418.618
2606,N02974D,430655.66,4586508.27
2607,N02975E,430.698.992,4.586.404.305
2608,N02976F,430.851.022,4.586.351.602
2609,N02977G,430.843.543,4.586.435.817
2610,N02978H,431.118.381,4.586.329.959
2611,N02979I,431100.88,4.586.337.598
2612,N02980B,430.957.597,4.586.293.202
2613,N02981C,430.926.045,4.586.278.194
2614,N02982D,431.161.859,4.586.313.892
2615,N02983E,431.061.635,4.586.352.372
2616,N02984F,430.994.302,4.586.378.591
2617,N02985G,430.940.379,4.586.399.029
2618,N02986H,430.872.481,4.586.424.682
2619,N02987I,430.730.898,4.586.478.809
2620,N02988J,430549.68,4.586.531.984
2621,N02990D,430.117.562,4.586.829.659
2622,N02992F,430.015.302,4.586.748.068
2623,N02993G,430.216.088,4.586.702.572
2624,N02995I,430.166.685,4.586.766.823
2625,N02996J,430141.7,4.586.799.018
2626,N02997K,430.258.908,4.586.842.018
2627,N02998L,430.102.877,4.586.713.626
2628,N02999M,430.064.762,4.586.682.641
2629,N03000O,430.075.438,4.586.881.585
2630,N03001P,430.048.247,4.586.703.257
2631,N03002Q,430.122.496,4.586.614.584
2632,N03003R,430080.29,4586661.6
2633,N03004S,430.331.421,4.586.784.647
2634,N03005T,430.181.877,4.586.593.704
2635,N03006U,430.056.068,4.586.560.733
2636,N03007V,429.999.246,4.586.614.777
2637,N03010Q,430.025.239,4.586.733.759
2638,N03011R,429.980.687,4.586.792.716
2639,N03012S,430.158.321,4.586.960.009
2640,N03013T,430091.42,4.586.895.909
2641,N03014U,430016.49,4.586.823.908
2642,N03015V,430.056.306,4.587.030.972
2643,N03016W,429.995.601,4587024.62
2644,N03017X,430.080.446,4.587.075.368
2645,N03018Y,430.015.574,4.586.903.343
2646,N03019Z,429.995.113,4.586.940.396
2647,N03020S,430067.21,4586967.12
2648,N03021T,430064.01,4.586.988.686
2649,N03022U,430.079.744,4.587.163.971
2650,N03023V,430.099.368,4.587.252.311
2651,N03025X,431.451.944,4.585.404.512
