FID,C_Nus,Coord_X,Coord_Y
153,N00172V,431.691.351,4.581.643.464
154,N00173W,431.749.289,4.581.606.151
155,N00174X,431.800.621,4.581.575.458
156,N00175Y,431.820.591,4.581.562.366
157,N00176Z,431.782.045,4.581.501.742
158,N00177A,431.835.934,4.581.551.888
159,N00178B,432.009.651,4.581.400.954
160,N00179C,431.909.913,4.581.503.873
161,N00183Y,432.058.295,4.581.214.478
162,N00187C,432.133.134,4.581.217.615
163,N00188D,432.104.298,4.581.209.188
164,N00189E,432098.63,4.581.226.587
165,N00192Z,432.546.184,4.581.356.674
166,N00195C,431403.78,4.581.185.678
167,N00196D,431441.85,4.581.249.119
168,N00197E,431.478.673,4.581.307.797
169,N00198F,431504.43,4.581.352.861
170,N00199G,431.538.322,4.581.406.172
171,N00200I,432.457.875,4581230.86
172,N00203L,432.479.793,4.581.215.412
173,N00205N,431.600.146,4.581.377.332
174,N00206O,431.566.013,4581323.11
175,N00207P,431.535.612,4.581.272.444
176,N00208Q,431.497.169,4.581.211.571
177,N00209R,431.459.377,4.581.150.317
178,N00210K,431436.31,4.581.112.641
179,N00211L,431.411.157,4.581.070.833
180,N00212M,431.463.978,4.581.374.303
181,N00213N,431.443.311,4.581.329.249
182,N00214O,431.425.206,4.581.342.376
183,N00215P,431.374.855,4.581.203.743
184,N00216Q,431.391.367,4.581.237.834
185,N00217R,431.407.284,4.581.271.807
186,N00218S,431498.72,4.581.424.181
187,N00219T,431.539.652,4.581.495.317
188,N00220M,431.512.392,4.581.523.381
189,N00221N,431.575.709,4.581.544.505
190,N00222O,431.589.727,4581568.24
191,N00223P,431611.51,4.581.599.092
192,N00225R,431.555.278,4.581.560.828
193,N00226S,431.573.704,4.581.582.309
194,N00227T,431.589.977,4581600.72
195,N00228U,431.597.737,4.581.609.996
196,N00230O,431.576.777,4.581.458.096
197,N00231P,431.622.188,4.581.525.747
198,N00232Q,431.631.155,4.581.581.874
199,N00233R,431.467.943,4.581.443.024
200,N00234S,431.490.184,4.581.484.903
201,N00235T,431.534.109,4.581.561.348
202,N00236U,431.412.501,4.581.562.299
203,N00237V,431.437.301,4.581.599.326
204,N00238W,431.448.113,4.581.525.316
205,N00239X,431.462.456,4.581.511.951
206,N00240Q,431.428.798,4.581.480.814
207,N00241R,431.428.858,4.581.495.872
208,N00242S,431.421.373,4.581.471.349
209,N00243T,431.429.478,4.581.518.342
210,N00244U,431.401.834,4.581.337.669
211,N00245V,431.424.646,4.581.369.765
212,N00246W,431.436.096,4.581.388.075
213,N00247X,431.451.143,4.581.416.006
214,N00248Y,431.390.787,4.581.401.358
215,N00249Z,431410.32,4.581.437.205
216,N00250S,431.405.815,4.581.378.899
217,N00254W,431840.45,4.581.634.312
218,N00255X,431.851.384,4.581.651.212
219,N00256Y,431.870.689,4.581.680.655
220,N00257Z,431.872.608,4.581.610.244
221,N00258A,431.883.718,4.581.626.223
222,N00259B,431.817.569,4.581.714.653
223,N00260U,431903.59,4.581.658.392
224,N00261V,431798.3,4.581.686.531
225,N00263X,431.765.291,4.581.633.053
226,N00264Y,431.780.192,4.581.657.622
227,N00265Z,431.710.243,4.581.703.173
228,N00266A,431.724.752,4.581.735.342
229,N00268C,431.732.547,4.581.753.028
230,N00269D,431.739.514,4.581.767.052
231,N00270W,431.750.015,4.581.787.935
232,N00271X,431.751.183,4.581.723.693
233,N00272Y,431.756.641,4.581.735.631
234,N00273Z,431.763.838,4.581.749.659
235,N00274A,431.772.192,4.581.767.649
236,N00275B,431.720.777,4.581.694.075
237,N00276C,431.749.675,4.581.676.666
238,N00277D,431.736.339,4.581.684.145
239,N00278E,431.607.258,4.581.645.307
240,N00279F,431.620.408,4.581.667.861
241,N00280Y,431.636.277,4581696.92
242,N00281Z,431.648.172,4.581.620.882
243,N00282A,431650.61,4.581.666.908
244,N00283B,431.667.237,4.581.657.392
245,N00284C,431.677.367,4.581.678.247
246,N00285D,431.706.099,4581669.41
247,N00286E,431.703.695,4.581.665.704
248,N00287F,431.640.955,4.581.705.327
249,N00288G,431.825.433,4.581.724.803
250,N00289H,431.845.326,4.581.756.394
251,N00290A,431.929.371,4.581.881.873
252,N00291B,431730.41,4.581.803.581
253,N00292C,431.690.345,4581814.16
254,N00293D,431.719.139,4.581.780.868
255,N00294E,431.672.297,4.581.681.319
256,N00295F,431.779.434,4.581.821.418
257,N00296G,431.837.117,4.581.877.467
258,N00297H,431.697.086,4581832.51
