vehicle_identifier, vehicle_identification_number, gps_lat, gps_lng, battery_charge, vehicle_status, created_on
4780-LMH,UCYS01S0ZMB000392,41.384375,2.172361,99,RESERVED,2021-03-11 12:23:20.357917+00
4780-LMH,UCYS01S0ZMB000392,41.384421,2.172376,99,RESERVED,2021-03-11 12:23:49.425159+00
4780-LMH,UCYS01S0ZMB000392,41.384506,2.172457,99,RESERVED,2021-03-11 12:24:20.254652+00
4780-LMH,UCYS01S0ZMB000392,41.384495,2.17243,99,TRAVELLING,2021-03-11 12:24:35.189648+00
4780-LMH,UCYS01S0ZMB000392,41.384484,2.172404,99,TRAVELLING,2021-03-11 12:24:39.539176+00
4780-LMH,UCYS01S0ZMB000392,41.384477,2.172416,99,TRAVELLING,2021-03-11 12:24:53.813445+00
4780-LMH,UCYS01S0ZMB000392,41.384484,2.172519,99,TRAVELLING,2021-03-11 12:25:08.634776+00
4780-LMH,UCYS01S0ZMB000392,41.384482,2.172526,99,TRAVELLING,2021-03-11 12:25:11.753903+00
4780-LMH,UCYS01S0ZMB000392,41.384472,2.172525,99,TRAVELLING,2021-03-11 12:25:16.044831+00
4780-LMH,UCYS01S0ZMB000392,41.384467,2.172533,99,TRAVELLING,2021-03-11 12:25:20.502367+00
4780-LMH,UCYS01S0ZMB000392,41.384483,2.172547,99,TRAVELLING,2021-03-11 12:25:29.373076+00
4780-LMH,UCYS01S0ZMB000392,41.384488,2.172554,99,TRAVELLING,2021-03-11 12:25:30.794998+00
4780-LMH,UCYS01S0ZMB000392,41.384498,2.172565,99,TRAVELLING,2021-03-11 12:25:32.355865+00
4780-LMH,UCYS01S0ZMB000392,41.384508,2.172582,99,TRAVELLING,2021-03-11 12:25:35.271176+00
4780-LMH,UCYS01S0ZMB000392,41.384513,2.172589,99,TRAVELLING,2021-03-11 12:25:38.39606+00
4780-LMH,UCYS01S0ZMB000392,41.384518,2.172588,99,TRAVELLING,2021-03-11 12:25:39.81814+00
4780-LMH,UCYS01S0ZMB000392,41.384523,2.172597,99,TRAVELLING,2021-03-11 12:25:42.878829+00
4780-LMH,UCYS01S0ZMB000392,41.384529,2.172639,99,TRAVELLING,2021-03-11 12:25:52.41359+00
4780-LMH,UCYS01S0ZMB000392,41.384531,2.172641,99,TRAVELLING,2021-03-11 12:25:54.039431+00
4780-LMH,UCYS01S0ZMB000392,41.384531,2.172643,99,TRAVELLING,2021-03-11 12:25:55.397057+00
4780-LMH,UCYS01S0ZMB000392,41.38453,2.172628,99,TRAVELLING,2021-03-11 12:25:59.418047+00
4780-LMH,UCYS01S0ZMB000392,41.384527,2.172618,99,TRAVELLING,2021-03-11 12:26:01.072907+00
4780-LMH,UCYS01S0ZMB000392,41.384524,2.17261,99,TRAVELLING,2021-03-11 12:26:01.082358+00
4780-LMH,UCYS01S0ZMB000392,41.384522,2.172606,99,TRAVELLING,2021-03-11 12:26:07.503815+00
4780-LMH,UCYS01S0ZMB000392,41.384512,2.172594,99,TRAVELLING,2021-03-11 12:26:16.663241+00
4780-LMH,UCYS01S0ZMB000392,41.384502,2.17256,99,TRAVELLING,2021-03-11 12:26:32.719158+00
4780-LMH,UCYS01S0ZMB000392,41.384475,2.172504,99,TRAVELLING,2021-03-11 12:26:47.634229+00
