vehicle_identifier, vehicle_identification_number, gps_lat, gps_lng, battery_charge, vehicle_status, created_on
4846-LMH,UCYS01S0ZMB000332,41.384499,2.172484,99,AVAILABLE,2021-03-11 12:03:11.015809+00
4846-LMH,UCYS01S0ZMB000332,41.384502,2.172492,99,AVAILABLE,2021-03-11 12:03:11.772876+00
4846-LMH,UCYS01S0ZMB000332,41.384496,2.172481,99,AVAILABLE,2021-03-11 12:03:12.674725+00
4846-LMH,UCYS01S0ZMB000332,41.384509,2.172504,99,AVAILABLE,2021-03-11 12:03:12.857386+00
4846-LMH,UCYS01S0ZMB000332,41.384505,2.172474,99,AVAILABLE,2021-03-11 12:03:13.676018+00
4846-LMH,UCYS01S0ZMB000332,41.384508,2.172437,99,AVAILABLE,2021-03-11 12:03:14.76787+00
4846-LMH,UCYS01S0ZMB000332,41.384773,2.172347,99,AVAILABLE,2021-03-11 12:03:31.238305+00
4846-LMH,UCYS01S0ZMB000332,41.384767,2.172378,99,AVAILABLE,2021-03-11 12:03:31.27958+00
4846-LMH,UCYS01S0ZMB000332,41.384694,2.172892,99,AVAILABLE,2021-03-11 12:03:42.903808+00
4846-LMH,UCYS01S0ZMB000332,41.384226,2.17275,99,AVAILABLE,2021-03-11 12:03:57.484661+00
4846-LMH,UCYS01S0ZMB000332,41.383993,2.17232,99,AVAILABLE,2021-03-11 12:04:04.404306+00
4846-LMH,UCYS01S0ZMB000332,41.384057,2.17226,99,AVAILABLE,2021-03-11 12:04:08.562196+00
4846-LMH,UCYS01S0ZMB000332,41.384063,2.172263,99,AVAILABLE,2021-03-11 12:04:10.290972+00
4846-LMH,UCYS01S0ZMB000332,41.384133,2.172242,99,AVAILABLE,2021-03-11 12:04:17.99273+00
4846-LMH,UCYS01S0ZMB000332,41.384077,2.172259,99,AVAILABLE,2021-03-11 12:06:19.123239+00
4846-LMH,UCYS01S0ZMB000332,41.384076,2.172251,99,AVAILABLE,2021-03-11 12:06:20.895895+00
4846-LMH,UCYS01S0ZMB000332,41.384351,2.172521,99,RESERVED,2021-03-11 12:11:34.827225+00
4846-LMH,UCYS01S0ZMB000332,41.384341,2.172517,99,TRAVELLING,2021-03-11 12:11:36.610299+00
4846-LMH,UCYS01S0ZMB000332,41.384213,2.172494,99,TRAVELLING,2021-03-11 12:11:51.86454+00
4846-LMH,UCYS01S0ZMB000332,41.384216,2.17247,99,TRAVELLING,2021-03-11 12:12:00.807271+00
4846-LMH,UCYS01S0ZMB000332,41.384256,2.172455,99,TRAVELLING,2021-03-11 12:12:06.600629+00
4846-LMH,UCYS01S0ZMB000332,41.384382,2.172375,99,TRAVELLING,2021-03-11 12:12:12.621035+00
4846-LMH,UCYS01S0ZMB000332,41.384687,2.172326,99,TRAVELLING,2021-03-11 12:12:26.983667+00
4846-LMH,UCYS01S0ZMB000332,41.384662,2.17239,98,TRAVELLING,2021-03-11 12:12:28.255221+00
4846-LMH,UCYS01S0ZMB000332,41.384519,2.172921,98,TRAVELLING,2021-03-11 12:12:42.853095+00
4846-LMH,UCYS01S0ZMB000332,41.38431,2.172713,98,TRAVELLING,2021-03-11 12:12:47.580389+00
4846-LMH,UCYS01S0ZMB000332,41.384277,2.172443,98,TRAVELLING,2021-03-11 12:12:57.526037+00
4846-LMH,UCYS01S0ZMB000332,41.384271,2.172431,98,TRAVELLING,2021-03-11 12:12:58.991732+00
4846-LMH,UCYS01S0ZMB000332,41.384294,2.17239,98,AVAILABLE,2021-03-11 12:13:10.872222+00
4846-LMH,UCYS01S0ZMB000332,41.384212,2.172463,98,AVAILABLE,2021-03-11 12:15:11.950274+00
4846-LMH,UCYS01S0ZMB000332,41.384205,2.172465,98,AVAILABLE,2021-03-11 12:15:14.488854+00
4846-LMH,UCYS01S0ZMB000332,41.38423,2.172282,98,RESERVED,2021-03-11 12:23:23.373913+00
4846-LMH,UCYS01S0ZMB000332,41.384225,2.172327,98,RESERVED,2021-03-11 12:23:39.810473+00
4846-LMH,UCYS01S0ZMB000332,41.384237,2.172363,98,RESERVED,2021-03-11 12:23:55.878688+00
4846-LMH,UCYS01S0ZMB000332,41.384268,2.172495,98,RESERVED,2021-03-11 12:24:41.123843+00
4846-LMH,UCYS01S0ZMB000332,41.384238,2.172536,98,RESERVED,2021-03-11 12:24:52.752622+00
4846-LMH,UCYS01S0ZMB000332,41.384235,2.172588,98,RESERVED,2021-03-11 12:25:09.686522+00
4846-LMH,UCYS01S0ZMB000332,41.384229,2.172563,98,RESERVED,2021-03-11 12:25:24.497102+00
4846-LMH,UCYS01S0ZMB000332,41.384221,2.172574,98,RESERVED,2021-03-11 12:25:27.556224+00
4846-LMH,UCYS01S0ZMB000332,41.38428,2.172541,98,RESERVED,2021-03-11 12:25:54.51198+00
4846-LMH,UCYS01S0ZMB000332,41.384371,2.172503,98,AVAILABLE,2021-03-11 12:26:24.316852+00
4846-LMH,UCYS01S0ZMB000332,41.384383,2.172501,98,AVAILABLE,2021-03-11 12:26:26.115592+00
4846-LMH,UCYS01S0ZMB000332,41.384422,2.172493,98,RESERVED,2021-03-11 12:26:45.616376+00
4846-LMH,UCYS01S0ZMB000332,41.384351,2.172448,98,RESERVED,2021-03-11 12:27:15.344238+00
4846-LMH,UCYS01S0ZMB000332,41.384349,2.172446,98,RESERVED,2021-03-11 12:27:19.551162+00
4846-LMH,UCYS01S0ZMB000332,41.384326,2.172458,98,RESERVED,2021-03-11 12:27:46.292713+00
4846-LMH,UCYS01S0ZMB000332,41.384212,2.172423,98,RESERVED,2021-03-11 12:28:14.495692+00
4846-LMH,UCYS01S0ZMB000332,41.384215,2.172427,98,AVAILABLE,2021-03-11 12:28:16.448495+00
4846-LMH,UCYS01S0ZMB000332,41.384215,2.172427,98,AVAILABLE,2021-03-11 12:28:17.412048+00
4846-LMH,UCYS01S0ZMB000332,41.384321,2.172356,98,AVAILABLE,2021-03-11 12:28:21.598804+00
4846-LMH,UCYS01S0ZMB000332,41.384447,2.172351,98,AVAILABLE,2021-03-11 12:28:29.713549+00
4846-LMH,UCYS01S0ZMB000332,41.384434,2.172354,98,AVAILABLE,2021-03-11 12:28:31.582215+00
4846-LMH,UCYS01S0ZMB000332,41.384507,2.172342,98,RESERVED,2021-03-11 12:28:52.671046+00
4846-LMH,UCYS01S0ZMB000332,41.384491,2.172028,98,RESERVED,2021-03-11 12:29:26.662165+00
4846-LMH,UCYS01S0ZMB000332,41.384464,2.171918,98,AVAILABLE,2021-03-11 12:29:56.46437+00
4846-LMH,UCYS01S0ZMB000332,41.384485,2.171908,98,AVAILABLE,2021-03-11 12:30:11.519583+00
4846-LMH,UCYS01S0ZMB000332,41.384463,2.171919,98,AVAILABLE,2021-03-11 12:30:26.399198+00
4846-LMH,UCYS01S0ZMB000332,41.384333,2.171973,98,AVAILABLE,2021-03-11 12:30:41.640147+00
4846-LMH,UCYS01S0ZMB000332,41.384306,2.171976,98,AVAILABLE,2021-03-11 12:30:56.513194+00
4846-LMH,UCYS01S0ZMB000332,41.38431,2.171991,98,AVAILABLE,2021-03-11 12:31:07.546368+00
4846-LMH,UCYS01S0ZMB000332,41.384333,2.17201,98,AVAILABLE,2021-03-11 12:31:19.907772+00
4846-LMH,UCYS01S0ZMB000332,41.38433,2.172013,98,AVAILABLE,2021-03-11 12:31:22.958211+00
4846-LMH,UCYS01S0ZMB000332,41.384329,2.172007,98,AVAILABLE,2021-03-11 12:31:29.565648+00
4846-LMH,UCYS01S0ZMB000332,41.384339,2.172007,98,AVAILABLE,2021-03-11 12:31:30.937841+00
4846-LMH,UCYS01S0ZMB000332,41.384338,2.172003,98,AVAILABLE,2021-03-11 12:31:32.478238+00
4846-LMH,UCYS01S0ZMB000332,41.384327,2.171994,98,AVAILABLE,2021-03-11 12:31:40.558264+00
4846-LMH,UCYS01S0ZMB000332,41.384498,2.171835,98,AVAILABLE,2021-03-11 12:31:56.503941+00
4846-LMH,UCYS01S0ZMB000332,41.384643,2.171203,98,AVAILABLE,2021-03-11 12:32:11.61384+00
4846-LMH,UCYS01S0ZMB000332,41.384659,2.170949,98,AVAILABLE,2021-03-11 12:32:20.518063+00
4846-LMH,UCYS01S0ZMB000332,41.384631,2.170921,98,AVAILABLE,2021-03-11 12:32:25.054486+00
4846-LMH,UCYS01S0ZMB000332,41.384595,2.170909,98,AVAILABLE,2021-03-11 12:32:25.059171+00
4846-LMH,UCYS01S0ZMB000332,41.384632,2.170775,98,AVAILABLE,2021-03-11 12:32:37.284037+00
4846-LMH,UCYS01S0ZMB000332,41.384836,2.170533,98,AVAILABLE,2021-03-11 12:32:51.526526+00
4846-LMH,UCYS01S0ZMB000332,41.385053,2.170361,98,AVAILABLE,2021-03-11 12:33:02.184215+00
4846-LMH,UCYS01S0ZMB000332,41.385074,2.170334,98,AVAILABLE,2021-03-11 12:33:04.915686+00
4846-LMH,UCYS01S0ZMB000332,41.385067,2.170296,98,AVAILABLE,2021-03-11 12:33:09.71412+00
4846-LMH,UCYS01S0ZMB000332,41.385102,2.170267,98,AVAILABLE,2021-03-11 12:33:12.8706+00
4846-LMH,UCYS01S0ZMB000332,41.385094,2.170275,98,AVAILABLE,2021-03-11 12:33:12.929009+00
4846-LMH,UCYS01S0ZMB000332,41.385102,2.170267,98,AVAILABLE,2021-03-11 12:33:13.675993+00
4846-LMH,UCYS01S0ZMB000332,41.385425,2.170286,98,AVAILABLE,2021-03-11 12:33:24.586603+00
4846-LMH,UCYS01S0ZMB000332,41.386589,2.171162,98,AVAILABLE,2021-03-11 12:33:39.514674+00
4846-LMH,UCYS01S0ZMB000332,41.386667,2.171187,98,AVAILABLE,2021-03-11 12:33:42.208576+00
4846-LMH,UCYS01S0ZMB000332,41.386768,2.171171,98,AVAILABLE,2021-03-11 12:33:56.327736+00
4846-LMH,UCYS01S0ZMB000332,41.386787,2.171171,98,AVAILABLE,2021-03-11 12:33:57.657293+00
4846-LMH,UCYS01S0ZMB000332,41.387418,2.171976,98,AVAILABLE,2021-03-11 12:34:12.361256+00
4846-LMH,UCYS01S0ZMB000332,41.388409,2.17284,98,AVAILABLE,2021-03-11 12:34:27.922231+00
4846-LMH,UCYS01S0ZMB000332,41.389046,2.173469,98,AVAILABLE,2021-03-11 12:34:42.291727+00
4846-LMH,UCYS01S0ZMB000332,41.389406,2.173467,98,AVAILABLE,2021-03-11 12:34:47.594254+00
4846-LMH,UCYS01S0ZMB000332,41.389982,2.172994,98,AVAILABLE,2021-03-11 12:35:02.584559+00
4846-LMH,UCYS01S0ZMB000332,41.39058,2.172317,97,AVAILABLE,2021-03-11 12:35:17.476489+00
4846-LMH,UCYS01S0ZMB000332,41.39117,2.171552,97,AVAILABLE,2021-03-11 12:35:33.327088+00
4846-LMH,UCYS01S0ZMB000332,41.391186,2.171524,97,AVAILABLE,2021-03-11 12:35:34.615071+00
4846-LMH,UCYS01S0ZMB000332,41.391158,2.171476,97,AVAILABLE,2021-03-11 12:35:49.825429+00
4846-LMH,UCYS01S0ZMB000332,41.39119,2.171456,97,AVAILABLE,2021-03-11 12:36:05.260652+00
